title,author,rating,ratings,score,cuntry ,published,image sm,image,link,AuthorLink,genre
Лісова пісня,Lesia Ukrainka, 4.33,1.38,2.026,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313151016i/12361871._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313151016i/12361871._SX150_.jpg,https://goodreads.com/book/show/12361871,https://www.goodreads.com/author/show/5128588.Lesia_Ukrainka,ua
Тореадори з Васюківки,Vsevolod Nestayko, 4.65,1.39,1.875,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465560671i/20486642._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465560671i/20486642._SY175_.jpg,https://goodreads.com/book/show/20486642,https://www.goodreads.com/author/show/5156729.Vsevolod_Nestayko,ua
Солодка Даруся,Maria Matios, 4.29,1.20,1.718,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1235417059i/6285178._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1235417059i/6285178._SY175_.jpg,https://goodreads.com/book/show/6285178,https://www.goodreads.com/author/show/2992859.Maria_Matios,ua
Кобзар,Taras Shevchenko, 4.39,831.00,1.48,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347470954i/8732968._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347470954i/8732968._SX150_.jpg,https://goodreads.com/book/show/8732968,https://www.goodreads.com/author/show/135390.Taras_Shevchenko,ua
Тіні забутих предків та інші твори,Mykhailo Kotsiubynsky, 4.21,843.00,1.415,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658994603i/16051373._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658994603i/16051373._SX150_.jpg,https://goodreads.com/book/show/16051373,https://www.goodreads.com/author/show/2783636.Mykhailo_Kotsiubynsky,ua
Енеїда,Ivan Kotliarevsky, 4.02,841.00,1.24,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619422537i/16394330._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619422537i/16394330._SY175_.jpg,https://goodreads.com/book/show/16394330,https://www.goodreads.com/author/show/7825736.Ivan_Kotliarevsky,ua
"Хіба ревуть воли, як ясла повні?",Панас Мирний, 3.85,914.00,1.207,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335310866i/13615962._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335310866i/13615962._SY175_.jpg,https://goodreads.com/book/show/13615962,https://www.goodreads.com/author/show/16358076._,ua
Марія,Улас Самчук, 4.38,435.00,1.16,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338876183i/14838531._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338876183i/14838531._SX150_.jpg,https://goodreads.com/book/show/14838531,https://www.goodreads.com/author/show/5159980._,ua
Сад Гетсиманський,Ivan Bahrianyi, 4.76,531.00,1.071,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353171438i/7251345._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353171438i/7251345._SY175_.jpg,https://goodreads.com/book/show/7251345,https://www.goodreads.com/author/show/14109101.Ivan_Bahrianyi,ua
Death and the Penguin,Andrey Kurkov, 3.82,11.86,1.07,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331042499i/152893._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331042499i/152893._SY175_.jpg,https://goodreads.com/book/show/152893.Death_and_the_Penguin,https://www.goodreads.com/author/show/88420.Andrey_Kurkov,ua
Perverzion,Yuri Andrukhovych, 3.90,330.00,1.065,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328855053i/1459192._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328855053i/1459192._SY175_.jpg,https://goodreads.com/book/show/1459192.Perverzion,https://www.goodreads.com/author/show/14394141.Yuri_Andrukhovych,ua
Земля,Ольга Кобилянська, 3.94,417.00,1.014,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330295635i/13501712._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330295635i/13501712._SY175_.jpg,https://goodreads.com/book/show/13501712,https://www.goodreads.com/author/show/21241391._,ua
Depeche Mode,Serhiy Zhadan, 3.96,1.30,930,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563784526i/8937840._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563784526i/8937840._SY175_.jpg,https://goodreads.com/book/show/8937840-depeche-mode,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan,ua
Жовтий князь,Василь Барка, 4.39,394.00,853,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348937684i/14624027._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348937684i/14624027._SY175_.jpg,https://goodreads.com/book/show/14624027,https://www.goodreads.com/author/show/6093925._,ua
Ворошиловград,Сергій Жадан, 4.01,1.76,793,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313220160i/12365588._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313220160i/12365588._SX150_.jpg,https://goodreads.com/book/show/12365588,https://www.goodreads.com/author/show/20907321._,ua
A Short History of Tractors in Ukrainian,Marina Lewycka, 3.42,30.55,772,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284995i/118726._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284995i/118726._SY175_.jpg,https://goodreads.com/book/show/118726.A_Short_History_of_Tractors_in_Ukrainian,https://www.goodreads.com/author/show/41814.Marina_Lewycka,ua
Танґо смерті,Yuri Vynnychuk, 4.38,715.00,765,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351518927i/16116757._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351518927i/16116757._SX150_.jpg,https://goodreads.com/book/show/16116757,https://www.goodreads.com/author/show/4454935.Yuri_Vynnychuk,ua
Selected Poetry/Вибрані поезії,Taras Shevchenko, 4.12,224.00,763,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615927076i/231386._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615927076i/231386._SY175_.jpg,https://goodreads.com/book/show/231386.Selected_Poetry_,https://www.goodreads.com/author/show/135390.Taras_Shevchenko,ua
Anarchy in the UKR,Serhiy Zhadan, 3.69,592.00,754,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438824129i/2985453._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438824129i/2985453._SY175_.jpg,https://goodreads.com/book/show/2985453-anarchy-in-the-ukr,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan,ua
Лис Микита,Іван Франко, 4.37,219.00,708,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334355912i/2814074._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334355912i/2814074._SX150_.jpg,https://goodreads.com/book/show/2814074,https://www.goodreads.com/author/show/11097570._,ua
Воццек,Yuri Izdryk, 3.56,126.00,657,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367690496i/4556774._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367690496i/4556774._SX150_.jpg,https://goodreads.com/book/show/4556774,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk,ua
Notre Dame d’Ukraine: Українка в конфлікті міфологій,Oksana Zabuzhko, 4.61,104.00,656,ukr,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305058545i/11339504._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305058545i/11339504._SX150_.jpg,https://goodreads.com/book/show/11339504-notre-dame-d-ukraine,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko,ua
