title,author,rating,ratings,score,link,author link
The Diary of a Young Girl,Anne Frank, 4.18," 3,285,568 ",893,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,https://www.goodreads.com/author/show/3720.Anne_Frank
Becoming,Michelle Obama (Goodreads Author), 4.49,854.422,580,https://www.goodreads.com/book/show/38746485-becoming,https://www.goodreads.com/author/show/2338628.Michelle_Obama
The Story of My Life,Helen Keller, 4.07,142.896,520,https://www.goodreads.com/book/show/821611.The_Story_of_My_Life,https://www.goodreads.com/author/show/7275.Helen_Keller
Bossypants,Tina Fey, 3.96,938.042,487,https://www.goodreads.com/book/show/9418327-bossypants,https://www.goodreads.com/author/show/4385839.Tina_Fey
"Night (The Night Trilogy, #1)",Elie Wiesel, 4.35," 1,113,620 ",480,https://www.goodreads.com/book/show/1617.Night,https://www.goodreads.com/author/show/1049.Elie_Wiesel
The Glass Castle,Jeannette Walls, 4.29," 1,052,258 ",479,https://www.goodreads.com/book/show/7445.The_Glass_Castle,https://www.goodreads.com/author/show/3275.Jeannette_Walls
Born a Crime: Stories From a South African Childhood,Trevor Noah, 4.48,558.373,445,https://www.goodreads.com/book/show/29780253-born-a-crime,https://www.goodreads.com/author/show/15149526.Trevor_Noah
The Autobiography of Malcolm X,Malcolm X, 4.34,244.511,443,https://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X,https://www.goodreads.com/author/show/17435.Malcolm_X
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain, 4.11,268.487,422,https://www.goodreads.com/book/show/33313.Kitchen_Confidential,https://www.goodreads.com/author/show/1124.Anthony_Bourdain
The Last Lecture,Randy Pausch, 4.25,327.767,416,https://www.goodreads.com/book/show/40611510-the-last-lecture,https://www.goodreads.com/author/show/287960.Randy_Pausch
The Princess Diarist,Carrie Fisher, 3.69,77.508,386,https://www.goodreads.com/book/show/26025989-the-princess-diarist,https://www.goodreads.com/author/show/90150.Carrie_Fisher
Educated,Tara Westover (Goodreads Author), 4.47," 1,185,972 ",383,https://www.goodreads.com/book/show/35133922-educated,https://www.goodreads.com/author/show/16121977.Tara_Westover
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert (Goodreads Author), 3.60," 1,625,812 ",381,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,https://www.goodreads.com/author/show/11679.Elizabeth_Gilbert
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed (Goodreads Author), 4.03,710.084,377,https://www.goodreads.com/book/show/12262741-wild,https://www.goodreads.com/author/show/155717.Cheryl_Strayed
