title,author,rating,ratings,score,link,autors link
Лісова пісня,Lesia Ukrainka, 4.33 ,1.375,2026,https://www.goodreads.com/book/show/12361871,https://www.goodreads.com/author/show/5128588.Lesia_Ukrainka
Тореадори з Васюківки,Vsevolod Nestayko, 4.65 ,1.388,1875,https://www.goodreads.com/book/show/20486642,https://www.goodreads.com/author/show/5156729.Vsevolod_Nestayko
Солодка Даруся,Maria Matios, 4.29 ,1.191,1717,https://www.goodreads.com/book/show/6285178,https://www.goodreads.com/author/show/2992859.Maria_Matios
Кобзар,Taras Shevchenko, 4.39 ,831,1480,https://www.goodreads.com/book/show/8732968,https://www.goodreads.com/author/show/135390.Taras_Shevchenko
Тіні забутих предків та інші твори,Mykhailo Kotsiubynsky, 4.21 ,843,1332,https://www.goodreads.com/book/show/16051373,https://www.goodreads.com/author/show/2783636.Mykhailo_Kotsiubynsky
Енеїда,Ivan Kotliarevsky, 4.03 ,839,1240,https://www.goodreads.com/book/show/16394330,https://www.goodreads.com/author/show/7825736.Ivan_Kotliarevsky
"Хіба ревуть воли, як ясла повні?",Панас Мирний, 3.85 ,910,1207,https://www.goodreads.com/book/show/13615962,https://www.goodreads.com/author/show/16358076._
Марія,Улас Самчук, 4.38 ,434,1160,https://www.goodreads.com/book/show/14838531,https://www.goodreads.com/author/show/5159980._
Сад Гетсиманський,Ivan Bahrianyi, 4.76 ,529,1071,https://www.goodreads.com/book/show/7251345,https://www.goodreads.com/author/show/14109101.Ivan_Bahrianyi
Death and the Penguin,Andrey Kurkov, 3.82 ,11.832,1070,https://www.goodreads.com/book/show/152893.Death_and_the_Penguin,https://www.goodreads.com/author/show/88420.Andrey_Kurkov
Perverzion,Yuri Andrukhovych, 3.90 ,330,1065,https://www.goodreads.com/book/show/1459192.Perverzion,https://www.goodreads.com/author/show/14394141.Yuri_Andrukhovych
Земля,Ольга Кобилянська, 3.94 ,417,1014,https://www.goodreads.com/book/show/13501712,https://www.goodreads.com/author/show/21241391._
Depeche Mode,Serhiy Zhadan, 3.96 ,1.294,930,https://www.goodreads.com/book/show/8937840-depeche-mode,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan
Жовтий князь,Василь Барка, 4.39 ,394,853,https://www.goodreads.com/book/show/14624027,https://www.goodreads.com/author/show/6093925._
Ворошиловград,Сергій Жадан, 4.01 ,1.756,792,https://www.goodreads.com/book/show/12365588,https://www.goodreads.com/author/show/20907321._
A Short History of Tractors in Ukrainian,Marina Lewycka, 3.42 ,30.534,772,https://www.goodreads.com/book/show/118726.A_Short_History_of_Tractors_in_Ukrainian,https://www.goodreads.com/author/show/41814.Marina_Lewycka
Танґо смерті,Yuri Vynnychuk, 4.38 ,715,765,https://www.goodreads.com/book/show/16116757,https://www.goodreads.com/author/show/4454935.Yuri_Vynnychuk
Selected Poetry/Вибрані поезії,Taras Shevchenko, 4.12 ,224,763,https://www.goodreads.com/book/show/231386.Selected_Poetry_,https://www.goodreads.com/author/show/135390.Taras_Shevchenko
Лис Микита,Іван Франко, 4.37 ,219,708,https://www.goodreads.com/book/show/2814074,https://www.goodreads.com/author/show/11097570._
The Master and Margarita,Mikhail Bulgakov, 4.30 ,294.023,674,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov
Воццек,Yuri Izdryk, 3.56 ,126,657,https://www.goodreads.com/book/show/4556774,https://www.goodreads.com/author/show/5188382.Yuri_Izdryk
Notre Dame d’Ukraine: Українка в конфлікті міфологій,Oksana Zabuzhko, 4.61 ,104,656,https://www.goodreads.com/book/show/11339504-notre-dame-d-ukraine,https://www.goodreads.com/author/show/135444.Oksana_Zabuzhko
Anarchy in the UKR,Serhiy Zhadan, 3.70 ,591,654,https://www.goodreads.com/book/show/2985453-anarchy-in-the-ukr,https://www.goodreads.com/author/show/9805044.Serhiy_Zhadan
Культ,Lyubko Deresh, 3.64 ,906,654,https://www.goodreads.com/book/show/5390449,https://www.goodreads.com/author/show/14159666.Lyubko_Deresh
